Read ID,Organism
M00827:12:000000000-AEUNW:1:1101:12983:1610,Staphylococcus
M00827:12:000000000-AEUNW:1:1101:13901:2032,Staphylococcus
M00827:12:000000000-AEUNW:1:1101:21543:2685,Staphylococcus
M00827:12:000000000-AEUNW:1:1101:20667:3491,Staphylococcus
M00827:12:000000000-AEUNW:1:1101:22513:3532,Staphylococcus
M00827:12:000000000-AEUNW:1:1101:18967:1954,Escherichia
M00827:12:000000000-AEUNW:1:1101:13519:2271,Escherichia
M00827:12:000000000-AEUNW:1:1101:18503:2566,Escherichia
M00827:12:000000000-AEUNW:1:1101:14568:2958,Escherichia
M00827:12:000000000-AEUNW:1:1101:15296:3158,Escherichia
M00827:12:000000000-AEUNW:1:1101:20958:2801,Thermus
M00827:12:000000000-AEUNW:1:1101:22220:3113,Thermus
M00827:12:000000000-AEUNW:1:1101:21003:4810,Thermus
M00827:12:000000000-AEUNW:1:1101:7803:4993,Thermus
M00827:12:000000000-AEUNW:1:1101:18920:5062,Thermus
